url,http_status,redirects_to,final_url,title,meta_description_present,canonical_url,meta_robots,indexable,in_sitemap,notes
https://www.inkedup.id/,200,,https://www.inkedup.id/,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (as https://inkedup.id/),"SPA shell, 3,511 B; H1 absent pre-render; canonical points to redirecting non-www host (Finding 1, P1)"
https://www.inkedup.id/artists,200,,https://www.inkedup.id/artists,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell (MD5 ee33bf…), directly tested; per-page metadata client-only via useSEO (Finding 2, P1)"
https://www.inkedup.id/studios,200,,https://www.inkedup.id/studios,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/locations,200,,https://www.inkedup.id/locations,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/locations/canggu,200,,https://www.inkedup.id/locations/canggu,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/locations/seminyak,200,,https://www.inkedup.id/locations/seminyak,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern (all 14 sampled URLs identical; catch-all rewrite)"
https://www.inkedup.id/locations/kuta,200,,https://www.inkedup.id/locations/kuta,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern"
https://www.inkedup.id/locations/uluwatu,200,,https://www.inkedup.id/locations/uluwatu,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern"
https://www.inkedup.id/locations/ubud,200,,https://www.inkedup.id/locations/ubud,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/locations/sanur,200,,https://www.inkedup.id/locations/sanur,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern"
https://www.inkedup.id/locations/nusa-dua,200,,https://www.inkedup.id/locations/nusa-dua,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern"
https://www.inkedup.id/locations/jimbaran,200,,https://www.inkedup.id/locations/jimbaran,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern"
https://www.inkedup.id/inspiration,200,,https://www.inkedup.id/inspiration,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/pricing,200,,https://www.inkedup.id/pricing,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/how-it-works,200,,https://www.inkedup.id/how-it-works,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/safety,200,,https://www.inkedup.id/safety,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/faq,200,,https://www.inkedup.id/faq,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/contact,200,,https://www.inkedup.id/contact,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/studio/apply,200,,https://www.inkedup.id/studio/apply,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested; form page in sitemap (priority 0.6) — indexable intent debatable (Finding 16, P3)"
https://www.inkedup.id/privacy,200,,https://www.inkedup.id/privacy,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/terms,200,,https://www.inkedup.id/terms,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://inkedup.id/,308,https://www.inkedup.id/,https://www.inkedup.id/,n/a (redirect),n/a,n/a,n/a,no,n/a,"host variant — non-www root, 1 hop"
http://inkedup.id/,308,https://inkedup.id/ → https://www.inkedup.id/,https://www.inkedup.id/,n/a,n/a,n/a,n/a,no,n/a,"host variant — 2-hop chain, flatten to single 308 (Finding 11, P3)"
http://www.inkedup.id/,308,https://www.inkedup.id/,https://www.inkedup.id/,n/a,n/a,n/a,n/a,no,n/a,"host variant — 1 hop, ok"
https://inkedup.id/artists,308,https://www.inkedup.id/artists,https://www.inkedup.id/artists,n/a,n/a,n/a,n/a,no,n/a,"host variant — sitemap lists THIS non-www form: every sitemap URL redirects (Finding 1, P1); host-level redirect applies to deep URLs"
https://www.inkedup.id/locations/,200,,https://www.inkedup.id/locations/,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,no,"TEST/VARIANT URL — trailing-slash duplicate, 200 with no redirect/normalization (Finding 4, P2)"
https://www.inkedup.id/Locations,200,,https://www.inkedup.id/Locations,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,no,"TEST/VARIANT URL — uppercase duplicate, 200 with no redirect/normalization (Finding 4, P2)"
https://www.inkedup.id/this-page-should-not-exist-xyz,200,,https://www.inkedup.id/this-page-should-not-exist-xyz,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,no,"TEST/PROBE URL — SOFT-404: nonexistent URL returns 200 SPA shell, should be 404 (Finding 3, P1)"
https://www.inkedup.id/booking/test-slug,200,,https://www.inkedup.id/booking/test-slug,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,needs-verification,no,"TEST/PROBE URL — dynamic booking route; invalid-slug rendered state UNVERIFIED; should be 404 for invalid slug (Finding 3, P1); funnel page should be noindex (Finding 16, P3)"
https://www.inkedup.id/artists/some-artist-slug,200,,https://www.inkedup.id/artists/some-artist-slug,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,no,"TEST/PROBE URL — dynamic artist route, should be 404 for invalid slug (Finding 3, P1); artist profiles NOT in sitemap (Finding 5, P2)"
https://www.inkedup.id/studios/1,200,,https://www.inkedup.id/studios/1,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,no,"TEST/PROBE URL — dynamic studio route; studio profiles NOT in sitemap (Finding 5, P2); invalid-slug render state UNVERIFIED"
https://www.inkedup.id/price-calculator,200,,https://www.inkedup.id/price-calculator,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,needs-verification,no,"VARIANT/ALIAS — client-side <Navigate> redirect to /pricing (App.tsx:60), invisible pre-render; legacy alias should be a real 301 (Finding 16, P3)"
https://www.inkedup.id/artist/apply,200,,https://www.inkedup.id/artist/apply,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,needs-verification,no,"VARIANT/ALIAS — client-side <Navigate> redirect to /studio/apply (App.tsx:79), invisible pre-render"
https://www.inkedup.id/artist/profile,200,,https://www.inkedup.id/artist/profile,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,no,"UTILITY ROUTE — account page (App.tsx:83), NOT disallowed in robots.txt; consider disallow/noindex (Finding 8, P2)"
https://www.inkedup.id/admin,200,,https://www.inkedup.id/admin,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,no,no,"DISALLOWED ROUTE — blocked by robots.txt yet returns 200 shell; 'Indexed, though blocked' risk (Finding 8, P2)"
https://www.inkedup.id/login,200,,https://www.inkedup.id/login,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,no,no,"DISALLOWED ROUTE — 200 shell despite Disallow (Finding 8, P2)"
https://www.inkedup.id/artist/dashboard,200,,https://www.inkedup.id/artist/dashboard,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,no,no,"DISALLOWED ROUTE — 200 shell despite Disallow (Finding 8, P2)"
https://www.inkedup.id/robots.txt,200,,https://www.inkedup.id/robots.txt,n/a,n/a,n/a,n/a,n/a,n/a,"valid; disallows /admin, /artist/dashboard, /login; Sitemap line points to non-www (Finding 1, P1)"
https://www.inkedup.id/sitemap.xml,200,,https://www.inkedup.id/sitemap.xml,n/a,n/a,n/a,n/a,n/a,n/a,"21 URLs, all non-www <loc>, no <lastmod>, static file app/public/sitemap.xml (Findings 1/5)"
https://inkedup.id/sitemap.xml,308,https://www.inkedup.id/sitemap.xml,https://www.inkedup.id/sitemap.xml,n/a,n/a,n/a,n/a,n/a,n/a,"redirect itself is fine; problem is the non-www URLs INSIDE the sitemap (Finding 1, P1)"
