"primary_keyword","secondary_keywords","search_intent","serp_type","demand_evidence","proposed_page_type","proposed_url","proposed_title","proposed_h1","conversion_goal","internal_link_sources","evidence_required","priority","status","cluster","cannibalization_risk"
"tattoo bali","get a tattoo in bali; bali tattoo; tattoo in bali; bali tattoo booking; tattoo bali 2026","transactional","mixed: listicles (Finns 16 Best; Traveloka 7 Best) + studio homepages + price blogs","WebSearch 2026-07-17: Finns/Traveloka listicles + tattoobali.com + bloodlinetattoobali.com rank; zero InkedUp presence","homepage (brand/commercial)","/","Tattoo Bali — Mobile Tattoo Concierge to Your Villa | InkedUp","Book a Verified Tattoo Artist in Bali — We Come to Your Villa","WhatsApp booking inquiry","all pages (logo/home link); /locations/*; /styles/*; /guides/*; footer","final brand title sign-off; real villa-setup photos; verifiable review count","P1","exists","core","§12(a): homepage vs /studios vs /artists all drifting toward 'tattoo bali' — homepage keeps brand/booking intent only; also shares homepage with 'tattoo concierge bali' row"
"tattoo studio bali","bali tattoo studio; tattoo shop bali; best tattoo shop bali; tattoo parlour bali","commercial","studio homepages","TNT/Mason's Ink/Celebrity Ink/Secret Arts/Bloodline studio homepages fill SERP (WebSearch)","partner directory landing","/studios","Tattoo Studios in Bali — InkedUp Verified Partners","Tattoo Studios in Bali, Vetted for Hygiene and Quality","browse studios → request booking","homepage; /locations/*; /guides/how-to-choose","real partner-studio list with addresses/reviews; vetting criteria","P2","exists","core","§12(a): differentiate from homepage — /studios = studio-directory intent; shares /studios URL with 'best tattoo studio bali' row (retarget: one page, two queries)"
"tattoo artist bali","bali tattoo artist; female tattoo artist bali; tattooist bali; bali tattoo artists portfolios","commercial","studio artist pages + marketplaces","Mason's Ink /artists roster; Westcoast Ink roster; bookanartist.co/tattoo-artists-bali; Sukay FAQ (female artist option)","artist directory landing","/artists","Tattoo Artists in Bali — Verified Portfolios | InkedUp","Meet the Tattoo Artists Serving Bali's Villas","artist profile → start booking","homepage; /styles/*; /locations/*","real artist roster, style tags, healed-work photos","P2","exists","core","§12(a): differentiate from homepage — /artists = artist-directory intent; shares /artists URL with 'best tattoo artist bali' row (retarget: one page, two queries)"
"book tattoo bali","tattoo appointment bali; book tattoo appointment bali; bali tattoo booking online; tattoo deposit bali","transactional","studio booking/contact pages + FAQs","Canggu Ink Club /booking (from Rp 1M); Two Guns FAQ (deposit); Satapak WhatsApp booking; Koloni DM booking","process landing","/how-it-works","How to Book a Tattoo in Bali — InkedUp Concierge","Booking a Tattoo in Bali: From Idea to Inked, Step by Step","start booking flow (step 1)","homepage; /pricing; /faq; /locations/*","deposit/payment policy finalized","P2","exists","core",""
"tattoo canggu","tattoo studio canggu; tattoo shop canggu; best tattoo canggu; canggu tattoo artist; tattoo near me canggu","transactional/local","studio homepages + directories + review pages","finelinetattoobali.com; Canggu Ink Club (3,421 Google reviews via directory + Trustindex page); Halfmoon; Celebrity Ink Canggu; Charlie Rose","location landing","/locations/canggu","Tattoo Canggu — Vetted Artists, In-Villa Sessions | InkedUp","Tattoo in Canggu: Book a Vetted Artist to Your Villa","WhatsApp inquiry (Canggu area)","homepage; /locations; /styles/fine-line; /guides/tattoo-aftercare-bali","artists actually covering Canggu; area-specific proof/photos","P2","exists","local","§12(b): /locations/* = local intent ('tattoo {area}'); generic mobile-service intent belongs to /mobile-tattoo-bali hub — do not swap targets"
"tattoo seminyak","tattoo studio seminyak; best tattoo seminyak; seminyak tattoo shop; tattoo artist seminyak","transactional/local","studio homepages","Mason's Ink (multiple pages); Primitive; Westcoast Ink; TNT — heavy studio SEO (WebSearch)","location landing","/locations/seminyak","Tattoo Seminyak — Vetted Artists to Your Villa | InkedUp","Tattoo in Seminyak: Premium Artists, In-Villa Sessions","WhatsApp inquiry (Seminyak)","homepage; /locations; /styles/*","artists covering Seminyak","P2","exists","local","§12(b): /locations/* = local intent ('tattoo {area}'); generic mobile-service intent belongs to /mobile-tattoo-bali hub — do not swap targets"
"tattoo kuta","tattoo studio kuta; tattoo shop kuta bali; best tattoo kuta; kuta tattoo artist","transactional/local","studio homepages + listicles","Celebrity Ink Kuta (4,530 reviews); Downunder/tattoobali.com; Anchor Tattoo (directory)","location landing","/locations/kuta","Tattoo Kuta Bali — Vetted Artists to Your Hotel or Villa","Tattoo in Kuta: Vetted Artists, Studio-Grade Hygiene at Your Stay","WhatsApp inquiry (Kuta)","homepage; /locations; /pricing","artists covering Kuta","P2","exists","local","§12(b): /locations/* = local intent ('tattoo {area}'); generic mobile-service intent belongs to /mobile-tattoo-bali hub — do not swap targets"
"tattoo legian","tattoo studio legian; tattoo shop legian; best tattoo legian bali","transactional/local","studio homepages + listicle mentions","Hustle Ink Legian (126 5-star reviews); Mex Tattoos; Rose Tattoo; Two Guns Legian","location landing","/locations/legian","Tattoo Legian — Vetted Bali Artists to Your Villa","Tattoo in Legian: Book a Vetted Artist to Your Stay","WhatsApp inquiry (Legian)","/locations; /locations/kuta; homepage","artists covering Legian; decision: separate page vs merged with Kuta","P2","proposed","local","§12(b): /locations/* = local intent ('tattoo {area}'); generic mobile-service intent belongs to /mobile-tattoo-bali hub — do not swap targets"
"tattoo ubud","tattoo studio ubud; tattoo shop ubud; bamboo tattoo ubud; best tattoo ubud","transactional/local","studio homepages + culture blogs","Ubud Ink (machine+bamboo); Quiet Ink Ubud; Bob Tattoo; Balinese-symbol blogs","location landing","/locations/ubud","Tattoo Ubud — Vetted Artists to Your Villa","Tattoo in Ubud: Vetted Artists, In-Villa Sessions","WhatsApp inquiry (Ubud)","homepage; /locations; /guides/tattoo-aftercare-bali","artists covering Ubud; whether bamboo/hand-poke is offered","P2","exists","local","§12(b): /locations/* = local intent ('tattoo {area}'); generic mobile-service intent belongs to /mobile-tattoo-bali hub — do not swap targets"
"tattoo sanur","tattoo studio sanur; tattoo shop sanur; best tattoo sanur","transactional/local","thin: one studio page + travel results","Quiet Ink Sanur page; Sanur Ink; SERP diluted with hotels (WebSearch retry)","location landing","/locations/sanur","Tattoo Sanur — Vetted Artists to Your Villa","Tattoo in Sanur: Vetted Artists, In-Villa Sessions","WhatsApp inquiry (Sanur)","homepage; /locations","artists covering Sanur","P3","exists","local","§12(b): /locations/* = local intent ('tattoo {area}'); generic mobile-service intent belongs to /mobile-tattoo-bali hub — do not swap targets"
"tattoo uluwatu","tattoo studio uluwatu; tattoo shop uluwatu; best tattoo uluwatu","transactional/local","studio homepages","Sukay Tattoo Uluwatu; Sae Collective; Uluwatu Tattoos Bali (2 locations); Zahra Ink Nusa Dua (939 reviews)","location landing","/locations/uluwatu","Tattoo Uluwatu — Vetted Artists to Your Villa","Tattoo in Uluwatu: Vetted Artists, In-Villa Sessions","WhatsApp inquiry (Uluwatu)","homepage; /locations","artists covering Uluwatu","P2","exists","local","§12(b): /locations/* = local intent ('tattoo {area}'); generic mobile-service intent belongs to /mobile-tattoo-bali hub — do not swap targets"
"tattoo nusa dua","tattoo studio nusa dua; tattoo shop nusa dua; tattoo near nusa dua resorts","transactional/local","directory rows + few studios","Zahra Ink Nusa Dua 5.0 (939) via besttattooartistbali.com/styles/japanese","location landing","/locations/nusa-dua","Tattoo Nusa Dua — Vetted Artists to Your Resort","Tattoo in Nusa Dua: Vetted Artists, In-Villa Sessions","WhatsApp inquiry (Nusa Dua)","homepage; /locations","artists covering Nusa Dua","P3","exists","local","§12(b): /locations/* = local intent ('tattoo {area}'); generic mobile-service intent belongs to /mobile-tattoo-bali hub — do not swap targets"
"tattoo jimbaran","tattoo studio jimbaran; tattoo shop jimbaran; tattoo near jimbaran bay","transactional/local","thin (no dedicated studio surfaced in this pass)","no dedicated competitor page observed; demand inferred from resort density + area coverage patterns","location landing","/locations/jimbaran","Tattoo Jimbaran — Vetted Artists to Your Villa","Tattoo in Jimbaran: Vetted Artists, In-Villa Sessions","WhatsApp inquiry (Jimbaran)","homepage; /locations","artists covering Jimbaran; thin-content risk check (only publish with real area content)","P3","exists","local","§12(b): /locations/* = local intent ('tattoo {area}'); generic mobile-service intent belongs to /mobile-tattoo-bali hub — do not swap targets"
"tattoo denpasar","tattoo studio denpasar; tattoo shop denpasar; tattoo artist denpasar","transactional/local","maps/local results dominate (weak SEO pages)","no strong dedicated SEO page observed in this pass; local-language behavior likely","location landing","/locations/denpasar","Tattoo Denpasar — Vetted Artists to Your Home or Villa","Tattoo in Denpasar: Vetted Artists, In-Home Sessions","WhatsApp inquiry (Denpasar)","/locations; homepage","artists covering Denpasar; ID-language version decision; thin-content risk check","P3","proposed","local","§12(b): /locations/* = local intent ('tattoo {area}'); generic mobile-service intent belongs to /mobile-tattoo-bali hub — do not swap targets"
"tattoo near me (Bali behavior)","tattoo shop near me; tattoo studio near me; walk in tattoo bali","transactional/local","Google Maps/Local Pack (not blue links)","finelinetattoobali.com copy explicitly targets 'tattoo near me' searchers; walk-in FAQs on Hustle Ink/Koloni","no new page — GBP + location pages + LocalBusiness schema","n/a (GBP service-area + /locations/*)","n/a","n/a","Maps/GBP actions (calls; directionless bookings)","all location pages","OWNER-VERIFY: Google Business Profile exists, service-area setup, categories, reviews","P1","proposed","local","§12(b)-related: no page — served by GBP + /locations/*; keep Maps/GBP actions separate from hub/location keyword targets"
"fine line tattoo bali","fineline tattoo bali; fine line tattoo canggu; fine line tattoo seminyak; minimalist fine line bali; fine line tattoo price bali","commercial","style-led studio homepages + price guides","Tropical Ink (fine-line-led, Seminyak & Canggu); finelinetattoobali.com; Halfmoon; Canggu Ink Club fine-line cost guide","style landing","/styles/fine-line","Fine Line Tattoo Bali — Precision Artists to Your Villa","Fine Line Tattoo in Bali: Delicate Work by Vetted Specialists","style-matched artist booking","/artists; /inspiration; /locations/canggu; /locations/seminyak; /pricing","artists with fine-line portfolios; healed fine-line photos","P2","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"cover up tattoo bali","tattoo cover up bali; cover up tattoo specialist bali; fix tattoo bali; tattoo correction bali","commercial","specialist guides + directory style page","Hustle Ink cover-up guide (+20-50%; from IDR 1.5M; award-winning specialist); besttattooartistbali.com/styles/cover-up","style landing","/styles/cover-up","Cover-Up Tattoo Bali — Fix or Transform Old Ink","Cover-Up Tattoos in Bali: Honest Assessments, Vetted Specialists","cover-up consult via WhatsApp (photo first)","/artists; /pricing; /faq","cover-up before/after portfolio; consult workflow","P2","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"japanese tattoo bali","irezumi bali; japanese tattoo artist bali; oriental tattoo bali; tebori bali","commercial","dedicated style pages","cangguinkclub.com/tattoo/japanese/; zerotattoobali.com; besttattooartistbali.com/styles/japanese (30+ studios compared)","style landing","/styles/japanese","Japanese Tattoo Bali — Irezumi Artists to Your Villa","Japanese & Irezumi Tattoo in Bali: Vetted Specialists","style-matched artist booking","/artists; /inspiration","artists with authentic Japanese-style portfolios","P2","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"black and grey tattoo bali","black and grey realism bali; blackwork tattoo bali; black and white tattoo bali","commercial","studio galleries + roster claims","finelinetattoobali.com black-and-grey gallery; Celebrity Ink black & grey; Hustle Ink specialist roster","style landing","/styles/black-and-grey","Black and Grey Tattoo Bali — Vetted Artists","Black and Grey Tattoos in Bali: Vetted Artists, Villa Sessions","style-matched artist booking","/artists; /styles/realism","portfolio proof","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"realism tattoo bali","realistic tattoo bali; portrait tattoo bali; micro realism tattoo bali","commercial","studio homepages","Bloodline (realism/portrait focus); Celebrity Ink realism; Westcoast roster claims","style landing","/styles/realism","Realism Tattoo Bali — Portrait & Realistic Artists","Realism Tattoos in Bali: Vetted Portrait & Realistic Artists","style-matched artist booking","/artists; /styles/black-and-grey","portfolio proof incl. healed realism","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"traditional tattoo bali","american traditional tattoo bali; old school tattoo bali; trad tattoo bali","commercial","studio style mentions + listicles","TNT (old school); Two Guns freehand/traditional mentions","style landing","/styles/traditional","Traditional Tattoo Bali — Bold Old-School Artists","American Traditional Tattoos in Bali: Vetted Artists","style-matched artist booking","/artists; /styles/neo-traditional","portfolio proof","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"neo traditional tattoo bali","neo trad tattoo bali; neotraditional tattoo artist bali","commercial","sparse: studio style lists","TNT 'best neotraditional' claim; Westcoast roster (neo trad)","style landing","/styles/neo-traditional","Neo-Traditional Tattoo Bali — Vetted Artists","Neo-Traditional Tattoos in Bali: Vetted Artists","style-matched artist booking","/artists; /styles/traditional","portfolio proof; thin-demand check","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"ornamental tattoo bali","mandala tattoo bali; dotwork tattoo bali; ornamental tattoo artist bali; sacred geometry tattoo bali","commercial","dedicated style-location pages","primitivetattoobali.com/mandala-tattoo-seminyak/; Two Guns ornament/geometric gallery; finelinetattoobali ornamental","style landing","/styles/ornamental","Ornamental & Mandala Tattoo Bali — Vetted Artists","Ornamental, Mandala & Dotwork Tattoos in Bali","style-matched artist booking","/artists; /styles/geometric; /locations/seminyak","portfolio proof","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"geometric tattoo bali","geometric tattoo artist bali; sacred geometry bali; linework tattoo bali","commercial","studio galleries","Two Guns geometry gallery; Westcoast roster (geometric); Downunder geometric","style landing","/styles/geometric","Geometric Tattoo Bali — Vetted Artists","Geometric Tattoos in Bali: Precision Artists to Your Villa","style-matched artist booking","/artists; /styles/ornamental","portfolio proof","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"minimalist tattoo bali","small tattoo bali; tiny tattoo bali; minimal tattoo bali; simple tattoo bali","commercial","style-led homepages + price guides","Tropical Ink (minimalist/micro-realism); finelinetattoobali 'small tattoo' tags; price guides for small tattoos (IDR 500K-1.5M)","style landing","/styles/minimalist","Minimalist & Small Tattoo Bali — Vetted Artists","Minimalist & Small Tattoos in Bali: What They Cost, Who to Book","style-matched artist booking","/styles/fine-line; /pricing","small-tattoo price policy (mobile minimum)","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
